-3396439,-4832881,Zabul Province,
-3396439,-4832880,Zabul,
-3396439,11007933,Zabul,1
-3396439,11007932,Wilayat-e Zabul,2
-3396439,-4832877,Velayat-e Zabol,
-3396439,-4817227,Qalat-e Ghelza'i,
-3396439,-4817206,Qalat,
-3396439,-4802157,Kalat,
-3395709,11131143,Wilayat-e Wardak,2
-3395709,-4832150,Werdek Province,
-3395709,-4831940,Wardak-Maidan,
-3395709,-4831938,Wardak and Maiden,
-3395709,-4831936,Wardak,1
-3395709,-4831931,Wardag,
-3395709,-4831695,Velayat-e Vardak,
-3395709,-4810618,Maydan Province,
-3394329,11007929,Wilayat-e Takhar,2
-3394329,-4829522,Velayat-e Takhar,
-3394329,-4830547,Tekhar Province,
-3394329,-4829878,Taluqan,
-3394329,-4829875,Talukan,
-3394329,-4829872,Talugan,
-3394329,11007930,Takhar,1
-3390412,11007940,Wilayat-e Sar-e Pul,2
-3390412,-4822776,Velayat-e Sar-e Pol,
-3390412,11007942,Sar-e Pul,1
-3389750,11007939,Wilayat-e Samangan,2
-3389750,-4821676,Velayat-e Samangan,
-3389750,-4824234,Semegaan Province,
-3389750,-4821677,Samanghan,
-3389750,523144,Samangan,1
-3389750,-4795872,Eybak,
-3389750,-4786193,Aybak,
-3386432,11007959,Wilayat-e Parwan,2
-3386432,-4815172,Velayat-e Parvan,
-3386432,-4815700,Perwan Province,
-3386432,-4815177,Parwan,1
-3386222,11007934,Wilayat-e Paktika,2
-3386222,-4814824,Velayat-e Paktika,
-3386222,11007935,Paktika,1
-3386221,11007948,Wilayat-e Paktiya,2
-3386221,-4814822,Velayat-e Paktia,
-3386221,-4814825,Paktya Province,
-3386221,11007949,Paktiya,1
-3386221,-4814823,Paktia Province,
-3386221,-4814821,Pakthia,
-3386221,-4814820,Pakteya,
-3386013,11007956,Wilayat-e Uruzgan,2
-3386013,-4814485,Velayat-e Oruzgan,
-3386013,-4831560,Uruzgan,1
-3386013,-4831550,Urozgan,
-3386013,-4820468,Ruzgan,
-3386013,-4814595,Owruzgan,
-3386013,-4814486,Oruzgan Province,
-3386013,9291905,Orozgan,
-3386013,-4785575,Aruzgan,
-3385933,13255320,Wuluswali-ye Sarobi,1
-3385933,11265841,Wuleswali Sorubi,
-3385933,12225320,Woluswali-ye Sarobi,
-3385933,6337357,Ulusvali-Surubi,
-3385933,12097956,Sarobi,
-3385933,12014717,Sarobi,
-3385933,-4814349,Oluswali Sorubi,
-3385650,11007920,Wilayat-e Nimroz,2
-3385650,-4813950,Velayat-e Nimruz,
-3385650,-4790532,Velayat-e Chakhansur,
-3385650,-4827239,Sistan,
-3385650,-4824095,Seistan,
-3385650,522831,Nimruz,
-3385650,-4813948,Nimroze,
-3385650,-4813947,Nim Roz,
-3385650,11007922,Nimroz,1
-3385650,-4791139,Chekhansur,
-3385650,-4791138,Chekhansor Province,
-3385650,-4790537,Chakhnsoor,
-3385650,-4790530,Chakhansoor,
-3385650,-4790489,Chakansur,
-3385101,11007918,Wilayat-e Nangarhar,2
-3385101,-4812938,Velayat-e Nangarhar,
-3385101,-4813795,Nengerhar Province,
-3385101,-4812944,Nangrahar,
-3385101,-4812943,Nangrahan,
-3385101,9127968,Nangarhar,1
-3385101,-4812935,Nangahar,
-3382874,11007915,Wilayat-e Logar,2
-3382874,-4809179,Velayat-e Lowgar,
-3382874,-4809301,Luger Province,
-3382874,-4809139,Loogard,
-3382874,-4809084,Logar,
-3382874,11007916,Logar,1
-3382408,11007946,Wilayat-e Laghman,2
-3382408,-4808468,Velayat-e Laghman,
-3382408,-4809011,Leghman Province,
-3382408,11007947,Laghman,1
-3381730,11007927,Wilayat-e Kunduz,2
-3381730,-4819134,Velayat-e Qonduz,
-3381730,-4807319,Velayat-e Kondoz,
-3381730,-4808064,Kundz,
-3381730,-4808063,Kunduz Province,
-3381730,11007928,Kunduz,1
-3381730,523164,Kondoz,
-3381717,11033204,Wilayat-e Kunar,
-3381717,11007944,Wilayat-e Kunar,2
-3381717,-4807300,Velayat-e Konarha,
-3381717,-4807298,Velayat-e Konar,
-3381717,-4808077,Kuner Province,
-3381717,-4807999,Kunarha,
-3381717,-4807996,Kunar,
-3381717,11007945,Kunar,1
-3379145,11007909,Wilayat-e Kapisa,2
-3379145,-4802643,Velayat-e Kapisa,
-3379145,-4802645,Kapissa Province,
-3379145,-4802644,Kapissa,
-3379145,11007910,Kapisa,1
-3379065,11007926,Wilayat-e Kandahar,2
-3379065,-4817749,Velayat-e Qandahar,
-3379065,-4802532,Velayat-e Kandehar,
-3379065,-4802516,Velayat-e Kandahar,
-3379065,-4802538,Kandhar,
-3379065,-4802514,Kandahar,1
-3379065,-4797087,Gendahar Province,
-3378436,11007906,Wilayat-e Kabul,2
-3378436,-4801502,Velayat-e Kabul,
-3378436,-4801481,Velayat-e Kabol,
-3378436,-4801510,Kabul Province,
-3378436,11007907,Kabul,1
-3378436,523049,Kabol,
-3378342,11007937,Wilayat-e Jowzjan,2
-3378342,-4801307,Velayat-e Jowzjan,
-3378342,-4801303,Velayat-e Jowzajan,
-3378342,-4825938,Shiberghan,
-3378342,-4825932,Shibarghan,
-3378342,-4801353,Jozjan Province,
-3378342,11007938,Jowzjan,1
-3378342,-4801018,Jawzjan,
-3377360,11007903,Wilayat-e Herat,2
-3377360,-4799783,Velayat-e Herat,
-3377360,-4799785,Herat Province,
-3377360,9291906,Herat,1
-3377342,11007902,Wilayat-e Helmand,2
-3377342,-4799760,Velayat-e Helmand,
-3377342,-4799845,Hilmand,
-3377342,-4799762,Helmend Province,
-3377342,522827,Helmand,1
-3377342,-4798663,Grishk,
-3377342,-4798180,Girishk Province,
-3376454,11136602,Gelan,1
-3376454,-4798146,`Alaqehdari-ye Gilan,
-3376267,11007897,Wilayat-e Ghor,2
-3376267,-4797887,Velayat-e Ghowr,
-3376267,-4830706,Thorat,
-3376267,9291908,Ghowr,
-3376267,-4797844,Ghor Province,
-3376267,-4797817,Ghore,
-3376267,-4797801,Ghorat,
-3376267,11007900,Ghor,1
-3376100,11007895,Wilayat-e Ghazni,2
-3376100,-4797607,Velayat-e Ghazni,
